case_id,txt_file,raw_words,cleaned_words,coverage_percent,status
case_001,case_001.txt,27116,27116,100.0,VALID
case_002,case_002.txt,26653,26653,100.0,VALID
case_003,case_003.txt,24124,24124,100.0,VALID
case_004,case_004.txt,32064,32064,100.0,VALID
case_005,case_005.txt,23143,23143,100.0,VALID
case_006,case_006.txt,46772,46772,100.0,VALID
case_007,case_007.txt,41931,41931,100.0,VALID
case_008,case_008.txt,15404,15404,100.0,VALID
case_009,case_009.txt,26495,26495,100.0,VALID
case_010,case_010.txt,41359,41359,100.0,VALID
case_011,case_011.txt,19900,19900,100.0,VALID
case_012,case_012.txt,21990,21990,100.0,VALID
case_013,case_013.txt,27430,27430,100.0,VALID
case_014,case_014.txt,26631,26631,100.0,VALID
case_015,case_015.txt,25619,25619,100.0,VALID
case_016,case_016.txt,17251,17251,100.0,VALID
case_017,case_017.txt,38917,38917,100.0,VALID
case_018,case_018.txt,27017,27017,100.0,VALID
case_019,case_019.txt,19463,19463,100.0,VALID
case_020,case_020.txt,20729,20729,100.0,VALID
case_021,case_021.txt,20729,20729,100.0,VALID
case_022,case_022.txt,81134,81134,100.0,VALID
case_023,case_023.txt,38903,38903,100.0,VALID
case_024,case_024.txt,19614,19614,100.0,VALID
case_025,case_025.txt,18500,18500,100.0,VALID
case_026,case_026.txt,24347,24347,100.0,VALID
case_027,case_027.txt,28784,28784,100.0,VALID
case_028,case_028.txt,24412,24412,100.0,VALID
case_029,case_029.txt,34113,34113,100.0,VALID
case_030,case_030.txt,16986,16986,100.0,VALID
case_031,case_031.txt,24012,24012,100.0,VALID
case_032,case_032.txt,23757,23757,100.0,VALID
case_033,case_033.txt,30784,30784,100.0,VALID
case_034,case_034.txt,29469,29469,100.0,VALID
case_035,case_035.txt,29239,29239,100.0,VALID
case_036,case_036.txt,29239,29239,100.0,VALID
case_037,case_037.txt,108354,108354,100.0,VALID
case_038,case_038.txt,24335,24335,100.0,VALID
case_039,case_039.txt,29862,29862,100.0,VALID
case_040,case_040.txt,37894,37894,100.0,VALID
case_041,case_041.txt,36833,36833,100.0,VALID
case_042,case_042.txt,34253,34253,100.0,VALID
case_043,case_043.txt,20942,20942,100.0,VALID
case_044,case_044.txt,17610,17610,100.0,VALID
case_045,case_045.txt,19905,19905,100.0,VALID
case_046,case_046.txt,38358,38358,100.0,VALID
case_047,case_047.txt,21412,21412,100.0,VALID
case_048,case_048.txt,28866,28866,100.0,VALID
case_049,case_049.txt,32141,32141,100.0,VALID
case_050,case_050.txt,28328,28328,100.0,VALID
