=== LOG FILE PEMBERSIHAN DATA PUTUSAN ===
Tahap 1: Case Base - Data Acquisition & Preprocessing

 case_id                                       pdf_file     txt_file  raw_words  cleaned_words  coverage_percent status  nomor_perkara  menimbang  mengingat  mengadili  pasal  putusan  section_score_percent
case_001    putusan_1042_pk_pdt_2024_20260621101005.pdf case_001.txt       2736           2360             86.26  VALID           True       True      False       True   True     True                  83.33
case_002    putusan_1065_pk_pdt_2025_20260611205716.pdf case_002.txt       6435           5643             87.69  VALID           True       True      False       True   True     True                  83.33
case_003    putusan_1120_pk_pdt_2025_20260612122607.pdf case_003.txt       4263           3711             87.05  VALID           True       True      False       True   True     True                  83.33
case_004    putusan_1354_pk_pdt_2024_20260621102041.pdf case_004.txt       3195           2778             86.95  VALID           True       True      False       True  False     True                  66.67
case_005    putusan_1458_pk_pdt_2025_20260602213350.pdf case_005.txt       3302           2887             87.43  VALID           True       True      False       True   True     True                  83.33
case_006    putusan_1458_pk_pdt_2025_20260621101339.pdf case_006.txt       3302           2887             87.43  VALID           True       True      False       True   True     True                  83.33
case_007      putusan_169_k_pdt_2026_20260605143655.pdf case_007.txt       4076           3555             87.22  VALID           True       True      False       True  False     True                  66.67
case_008     putusan_2187_k_pdt_2025_20260612053338.pdf case_008.txt      13457          11779             87.53  VALID           True       True      False       True  False     True                  66.67
case_009     putusan_2255_k_pdt_2025_20260612124039.pdf case_009.txt       6728           5892             87.57  VALID           True       True      False       True  False     True                  66.67
case_010     putusan_2399_k_pdt_2025_20260611151648.pdf case_010.txt       3174           2759             86.93  VALID           True       True      False       True  False     True                  66.67
case_011     putusan_2484_k_pdt_2025_20260611083215.pdf case_011.txt       2957           2633             89.04  VALID           True       True      False       True  False     True                  66.67
case_012     putusan_2805_k_pdt_2025_20260612123839.pdf case_012.txt       3929           3426             87.20  VALID           True       True      False       True  False     True                  66.67
case_013      putusan_286_k_pdt_2026_20260612122315.pdf case_013.txt       5161           4473             86.67  VALID           True       True      False       True  False     True                  66.67
case_014     putusan_2972_k_pdt_2025_20260612123909.pdf case_014.txt       4767           4213             88.38  VALID           True       True      False       True  False     True                  66.67
